Time.point,Date,Treatment,plant.mass..g,Tank,Sample.ID,HS.mCO2.before,HS.mCO2.after,HS.mCH4.before,HS.mCH4.after,Temp.insitu,Temp.equil,Alkalinity.measured,Volume.gas,Volume.water,Bar.pressure,Constants,Salinity
T0,11/4/21,burned,150,18,18,531,748,1.9,2.05,22.3,22.3,2240,25,25,100.5857025,1,0
T0,11/4/21,unburned,75,19,19,531,684,1.9,1.92,21.9,21.9,2240,25,25,100.5857025,1,0
T0,11/4/21,burned,175,20,20,531,738,1.9,1.88,21.9,21.9,2240,25,25,100.5857025,1,0
T0,11/4/21,unburned,50,21,21,531,668,1.9,1.96,21.9,21.9,2240,25,25,100.5857025,1,0
T0,11/4/21,burned,200,22,22,531,690,1.9,1.95,21.7,21.7,2240,25,25,100.5857025,1,0
T0,11/4/21,unburned,25,23,23,531,675,1.9,2.05,21.6,21.6,2240,25,25,100.5857025,1,0
T0,11/4/21,burned,225,24,24,531,730,1.9,1.88,21.8,21.8,2240,25,25,100.5857025,1,0
T0,11/4/21,unburned,10,25,25,531,641,1.9,2,21.8,21.8,2240,25,25,100.5857025,1,0
T0,11/4/21,burned,250,26,26,531,692,1.9,2,22.1,22.1,2240,25,25,100.5857025,1,0
T0,11/4/21,unburned,5,27,27,531,659,1.9,1.96,22.2,22.2,2240,25,25,100.5857025,1,0
T0,11/4/21,burned,300,28,28,531,684,1.9,1.95,22.3,22.3,2240,25,25,100.5857025,1,0
T0,11/4/21,unburned,0,29,29,531,700,1.9,1.95,22.4,22.4,2240,25,25,100.5857025,1,0
T0,11/4/21,burned,400,30,30,531,657,1.9,2.01,22.5,22.5,2240,25,25,100.5857025,1,0
T0,11/4/21,NA,NA,ambient air,31blank,531,531,1.9,1.9,21.79333333,21.79333333,2240,15,15,100.9348233,1,0
T1,11/15/21,unburned,400,1,32,540,4628,1.9,2.34,20.9,20.9,2240,25,25,100.7265934,1,0
T1,11/15/21,burned,0,2,33,540,534,1.9,2.11,18.1,18.1,2240,25,25,100.7265934,1,0
T1,11/15/21,unburned,300,3,34,540,4260,1.9,2.27,18.2,18.2,2240,25,25,100.7265934,1,0
T1,11/15/21,burned,5,4,35,540,574,1.9,2.16,18.2,18.2,2240,25,25,100.7265934,1,0
T1,11/15/21,unburned,250,5,36,540,3533,1.9,2.25,18.1,18.1,2240,25,25,100.7265934,1,0
T1,11/15/21,burned,10,6,37,540,558,1.9,2.17,18,18,2240,25,25,100.7265934,1,0
T1,11/15/21,unburned,225,7,38,540,3313,1.9,2.16,20.1,20.1,2240,25,25,100.7265934,1,0
T1,11/15/21,burned,25,8,39,540,286,1.9,2.04,18.9,18.9,2240,25,25,100.7265934,1,0
T1,11/15/21,unburned,200,9,40,540,3557,1.9,2.19,19.1,19.1,2240,25,25,100.7265934,1,0
T1,11/15/21,burned,50,10,41,540,1437,1.9,2.26,18.7,18.7,2240,25,25,100.7265934,1,0
T1,11/15/21,unburned,175,11,42,540,2806,1.9,1.99,19.2,19.2,2240,25,25,100.7265934,1,0
T1,11/15/21,burned,75,12,43,540,1220,1.9,2.01,18.5,18.5,2240,25,25,100.7265934,1,0
T1,11/15/21,unburned,150,13,44,540,2589,1.9,2,19.9,19.9,2240,25,25,100.7265934,1,0
T1,11/15/21,burned,100,14,45,540,1562,1.9,2.08,18.7,18.7,2240,25,25,100.7265934,1,0
T1,11/15/21,unburned,125,15,46,540,2275,1.9,1.98,18.3,18.3,2240,25,25,100.7265934,1,0
T1,11/15/21,burned,125,16,47,540,1904,1.9,2.09,18.8,18.8,2240,25,25,100.7265934,1,0
T1,11/15/21,unburned,100,17,48,540,1988,1.9,1.98,19.2,19.2,2240,25,25,100.7265934,1,0
T1,11/15/21,burned,150,18,49,540,2147,1.9,2.04,18.9,18.9,2240,25,25,100.7265934,1,0
T1,11/15/21,unburned,75,19,50,540,1092,1.9,2.19,20,20,2240,25,25,100.7265934,1,0
T1,11/15/21,burned,175,20,51,540,2107,1.9,2.13,19.6,19.6,2240,25,25,100.7265934,1,0
T1,11/15/21,unburned,50,21,52,540,1000,1.9,2.07,19.1,19.1,2240,25,25,100.7265934,1,0
T1,11/15/21,burned,200,22,53,540,2540,1.9,2.05,19.9,19.9,2240,25,25,100.7265934,1,0
T1,11/15/21,unburned,25,23,54,540,837,1.9,2.19,19.3,19.3,2240,25,25,100.7265934,1,0
T1,11/15/21,burned,225,24,55,540,3013,1.9,2.12,19.8,19.8,2240,25,25,100.7265934,1,0
T1,11/15/21,unburned,10,25,56,540,535,1.9,2.04,19.5,19.5,2240,25,25,100.7265934,1,0
T1,11/15/21,burned,250,26,57,540,3665,1.9,2.06,20.1,20.1,2240,25,25,100.7265934,1,0
T1,11/15/21,unburned,5,27,58,540,511,1.9,2.06,19.6,19.6,2240,25,25,100.7265934,1,0
T1,11/15/21,burned,300,28,59,540,3808,1.9,2.1,20.2,20.2,2240,25,25,100.7265934,1,0
T1,11/15/21,unburned,0,29,60,540,496,1.9,2.1,19.7,19.7,2240,25,25,100.7265934,1,0
T1,11/15/21,burned,400,30,61,540,4315,1.9,2.19,20.2,20.2,2240,25,25,100.7265934,1,0
T1,11/15/21,NA,NA,ambient air,62blank,540,540,1.9,1.9,19.22666667,19.22666667,2240,15,15,100.9459478,1,0
T2,12/6/21,unburned,400,1,63,538,1495,2.17,2.47,13.4,13.4,2240,25,25,100.6344628,1,0
T2,12/6/21,burned,0,2,64,538,383,2.17,2.35,12.9,12.9,2240,25,25,100.6344628,1,0
T2,12/6/21,unburned,300,3,65,538,1659,2.17,2.44,12.9,12.9,2240,25,25,100.6344628,1,0
T2,12/6/21,burned,5,4,66,538,450,2.17,2.34,12.8,12.8,2240,25,25,100.6344628,1,0
T2,12/6/21,unburned,250,5,67,538,2058,2.17,2.29,12.7,12.7,2240,25,25,100.6344628,1,0
T2,12/6/21,burned,10,6,68,538,564,2.17,2.2,12.8,12.8,2240,25,25,100.6344628,1,0
T2,12/6/21,unburned,225,7,69,538,1362,2.17,2.26,13.5,13.5,2240,25,25,100.6344628,1,0
T2,12/6/21,burned,25,8,70,538,509,2.17,2.16,12.8,12.8,2240,25,25,100.6344628,1,0
T2,12/6/21,unburned,200,9,71,538,1590,2.17,2.44,12.7,12.7,2240,25,25,100.6344628,1,0
T2,12/6/21,burned,50,10,72,538,389,2.17,2.37,12.9,12.9,2240,25,25,100.6344628,1,0
T2,12/6/21,unburned,175,11,73,538,1517,2.17,2.34,12.8,12.8,2240,25,25,100.6344628,1,0
T2,12/6/21,burned,75,12,74,538,354,2.17,2.37,12.6,12.6,2240,25,25,100.6344628,1,0
T2,12/6/21,unburned,150,13,75,538,1354,2.17,2.15,12.6,12.6,2240,25,25,100.6344628,1,0
T2,12/6/21,burned,100,14,76,538,763,2.17,2.44,12.1,12.1,2240,25,25,100.6344628,1,0
T2,12/6/21,unburned,125,15,77,538,568,2.17,2.29,12.1,12.1,2240,25,25,100.6344628,1,0
T2,12/6/21,burned,125,16,78,538,805,2.17,2.2,12.1,12.1,2240,25,25,100.6344628,1,0
T2,12/6/21,unburned,100,17,79,538,1061,2.17,2.19,12,12,2240,25,25,100.6344628,1,0
T2,12/6/21,burned,150,18,80,538,970,2.17,2.2,12.1,12.1,2240,25,25,100.6344628,1,0
T2,12/6/21,unburned,75,19,81,538,597,2.17,2.46,12.7,12.7,2240,25,25,100.6344628,1,0
T2,12/6/21,burned,175,20,82,538,1039,2.17,2.19,12.7,12.7,2240,25,25,100.6344628,1,0
T2,12/6/21,unburned,50,21,83,538,424,2.17,2.15,12.5,12.5,2240,25,25,100.6344628,1,0
T2,12/6/21,burned,200,22,84,538,1266,2.17,2.24,13.1,13.1,2240,25,25,100.6344628,1,0
T2,12/6/21,unburned,25,23,85,538,407,2.17,2.13,12.5,12.5,2240,25,25,100.6344628,1,0
T2,12/6/21,burned,225,24,86,538,1558,2.17,2.15,12.5,12.5,2240,25,25,100.6344628,1,0
T2,12/6/21,unburned,10,25,87,538,557,2.17,2.37,12.2,12.2,2240,25,25,100.6344628,1,0
T2,12/6/21,burned,250,26,88,538,1539,2.17,2.43,12.4,12.4,2240,25,25,100.6344628,1,0
T2,12/6/21,unburned,5,27,89,538,548,2.17,2.22,12.4,12.4,2240,25,25,100.6344628,1,0
T2,12/6/21,burned,300,28,90,538,1546,2.17,2.47,12.4,12.4,2240,25,25,100.6344628,1,0
T2,12/6/21,unburned,0,29,91,538,541,2.17,2.64,12.7,12.7,2240,25,25,100.6344628,1,0
T2,12/6/21,burned,400,30,92,538,2843,2.17,2.16,12.5,12.5,2240,25,25,100.6344628,1,0
T2,12/6/22,NA,NA,ambient air,93blank,538,538,2.17,2.17,12.61333333,12.61333333,2240,15,15,100.9570722,1,0
T3,1/3/21,unburned,400,1,94,505,1339,2.06,2.1,14.5,14.5,2240,25,25,100.9681967,1,0
T3,1/3/21,burned,0,2,95,505,419,2.06,2.78,12,12,2240,25,25,100.9681967,1,0
T3,1/3/21,unburned,300,3,96,505,1148,2.06,2.47,12.1,12.1,2240,25,25,100.9681967,1,0
T3,1/3/21,burned,5,4,97,505,781,2.06,2.65,12.1,12.1,2240,25,25,100.9681967,1,0
T3,1/3/21,unburned,250,5,98,505,1595,2.06,2.74,12.4,12.4,2240,25,25,100.9681967,1,0
T3,1/3/21,burned,10,6,99,505,302,2.06,2.6,11.5,11.5,2240,25,25,100.9681967,1,0
T3,1/3/21,unburned,225,7,100,505,624,2.06,2.55,13.9,13.9,2240,25,25,100.9681967,1,0
T3,1/3/21,burned,25,8,101,505,726,2.06,2.85,12.7,12.7,2240,25,25,100.9681967,1,0
T3,1/3/21,unburned,200,9,102,505,971,2.06,2.1,12.9,12.9,2240,25,25,100.9681967,1,0
T3,1/3/21,burned,50,10,103,505,270,2.06,2.26,12.9,12.9,2240,25,25,100.9681967,1,0
T3,1/3/21,unburned,175,11,104,505,636,2.06,2.14,12.3,12.3,2240,25,25,100.9681967,1,0
T3,1/3/21,burned,75,12,105,505,239,2.06,2.43,12.3,12.3,2240,25,25,100.9681967,1,0
T3,1/3/21,unburned,150,13,106,505,1054,2.06,2.51,12.4,12.4,2240,25,25,100.9681967,1,0
T3,1/3/21,burned,100,14,107,505,213,2.06,2.12,11.5,11.5,2240,25,25,100.9681967,1,0
T3,1/3/21,unburned,125,15,108,505,1130,2.06,2.19,11.4,11.4,2240,25,25,100.9681967,1,0
T3,1/3/21,burned,125,16,109,505,368,2.06,2.7,12.7,12.7,2240,25,25,100.9681967,1,0
T3,1/3/21,unburned,100,17,110,505,485,2.06,2.22,11.7,11.7,2240,25,25,100.9681967,1,0
T3,1/3/21,burned,150,18,111,505,236,2.06,2.37,11.9,11.9,2240,25,25,100.9681967,1,0
T3,1/3/21,unburned,75,19,112,505,305,2.06,2.46,13.6,13.6,2240,25,25,100.9681967,1,0
T3,1/3/21,burned,175,20,113,505,340,2.06,2.5,12.9,12.9,2240,25,25,100.9681967,1,0
T3,1/3/21,unburned,50,21,114,505,433,2.06,2.29,12.8,12.8,2240,25,25,100.9681967,1,0
T3,1/3/21,burned,200,22,115,505,715,2.06,2.27,14,14,2240,25,25,100.9681967,1,0
T3,1/3/21,unburned,25,23,116,505,311,2.06,2.66,13.3,13.3,2240,25,25,100.9681967,1,0
T3,1/3/21,burned,225,24,117,505,600,2.06,2.32,13.8,13.8,2240,25,25,100.9681967,1,0
T3,1/3/21,unburned,10,25,118,505,397,2.06,2.32,13.1,13.1,2240,25,25,100.9681967,1,0
T3,1/3/21,burned,250,26,119,505,1013,2.06,2.63,13.7,13.7,2240,25,25,100.9681967,1,0
T3,1/3/21,unburned,5,27,120,505,420,2.06,2.16,11.8,11.8,2240,25,25,100.9681967,1,0
T3,1/3/21,burned,300,28,121,505,1042,2.06,2.72,14.1,14.1,2240,25,25,100.9681967,1,0
T3,1/3/21,unburned,0,29,122,505,416,2.06,2.32,12.9,12.9,2240,25,25,100.9681967,1,0
T3,1/3/21,burned,400,30,123,505,1967,2.06,2.1,15.3,15.3,2240,25,25,100.9681967,1,0
T3,1/3/21,NA,NA,ambient air,124blank,505,505,2.06,2.06,12.81666667,12.81666667,2240,15,15,100.9681967,1,0
